playerId,total_contribution,firstName,lastName,wyId,age,role,minutesPlayed,contribution_per_90,place
225996,5.023542680859554,Diego Javier,Llorente R\u00edos,225996.0,24.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2407.0,0.1878349984534108,148
334552,4.33778220790672,Fran\u00e7ois,Kamano,334552.0,22.0,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",2080.0,0.18769249938057922,149
20402,5.0470993827690265,Kevin-Prince,Boateng,20402.0,31.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2445.0,0.18578279936573106,150
14689,6.5855656257994175,Ronaldo ,Aparecido Rodrigues,14689.0,35.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",3192.0,0.18568324132893096,151
3680,4.763962344428709,David,Zurutuza Veillet,3680.0,31.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2312.0,0.185448361158557,152
50102,4.72638290882994,Fabian Lukas,Sch\u00e4r,50102.0,26.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2296.0,0.18526762273288094,153
14917,4.471075533389883,Robin,Knoche,14917.0,26.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2177.0,0.18484005420536956,154
257750,5.234135770798858,Thiago,Maia Alencar,257750.0,21.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2549.0,0.18480667688187413,155
25942,4.760371644933761,Gilbert Gianelli,Imbula Wanga,25942.0,25.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2319.0,0.18474922295991308,156
28866,4.774097752263033,Karim,Azamoum,28866.0,28.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2326.0,0.18472433263270546,157
14778,4.299265964084276,\u00d6mer,Toprak,14778.0,28.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2095.0,0.18469400323035073,158
209028,5.4565276835868275,Adrien,Thomasson,209028.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2665.0,0.18427297993351388,159
89186,5.018730225079786,Paulo Bruno,Exequiel Dybala,89186.0,24.0,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",2452.0,0.18421114202984532,160
